issue_id,title_ru,issue_date,issue_no,cumulative_no,pages,municipalities,source_url
8,Запорожский вестник,2024-04-23,17,66,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/17%D0%90.pdf
9,Запорожский вестник,2024-04-30,18,67,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/18%D0%90.pdf
38,Запорожская правда,2024-05-03,5,17,4,Melitopol; Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-berdyansk_melitopol_5_17-itoga.pdf
10,Запорожский вестник,2024-05-04,19-20,68-69,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/19-20%D0%90.pdf
16,Запорожский вестник,2024-05-21,21,70,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/21%D0%90.pdf
17,Запорожский вестник,2024-05-30,22,71,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/22A.pdf
18,Запорожский вестник,2024-06-06,23,72,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/23A.pdf
19,Запорожский вестник,2024-06-13,24,73,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/24A.pdf
20,Запорожский вестник,2024-06-20,25,74,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/25A.pdf
21,Запорожский вестник,2024-06-27,26,75,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/26A.pdf
37,Запорожская правда,2024-06-28,6,18,4,Melitopol; Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-berdyansk_6_18_pressa.pdf
22,Запорожский вестник,2024-07-04,27,76,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/27A.pdf
23,Запорожский вестник,2024-07-11,28,77,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/28A.pdf
24,Запорожский вестник,2024-07-18,29,78,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/29A.pdf
31,Запорожская правда,2024-07-18,7,19,4,Melitopol; Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-7_19a.pdf
32,Запорожская правда,2024-07-18,8,20,4,Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-8_20a.pdf
25,Запорожский вестник,2024-07-25,30,79,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/30A.pdf
26,Запорожский вестник,2024-08-01,31,80,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/31A.pdf
27,Запорожский вестник,2024-08-08,32,81,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/32A.pdf
28,Запорожский вестник,2024-08-15,33,82,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/33A.pdf
33,Запорожская правда,2024-08-16,9,21,4,Melitopol; Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-9_21a.pdf
29,Запорожский вестник,2024-08-22,34,83,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/34A.pdf
30,Запорожский вестник,2024-08-29,35,84,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/35A.pdf
99,Запорожский вестник,2024-09-05,36,85,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv36a.pdf
101,Запорожский вестник,2024-09-12,37,86,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv37a.pdf
103,Запорожский вестник,2024-09-19,38,87,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv38a.pdf
46,Запорожская правда,2024-09-20,10,22,20,Melitopol,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp_10_22a.pdf
105,Запорожский вестник,2024-09-26,39,88,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv39a.pdf
109,Запорожский вестник,2024-10-03,40,89,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv40a.pdf
47,Запорожская правда,2024-10-09,11,23,12,Enerhodar; Melitopol; Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp_11_23a.pdf
