issue_id,title_ru,title_translit,town_uk,raion_or_area,holding,issue_date,pages,source_url
533,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-03-21,15,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-10-91.pdf
534,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-03-28,15,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-11-92.pdf
556,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-04-18,15,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%9614-95.pdf
535,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-04-25,15,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-15-96.pdf
536,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-05-02,15,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-16-97.pdf
537,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-05-09,16,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-17-98.pdf
538,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-05-16,15,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-18-99.pdf
540,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-05-23,15,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-19-100.pdf
541,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-05-30,15,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-20-101.pdf
542,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-06-06,16,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-21-102.pdf
543,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-06-13,15,https://luganmedia.ru/wp-content/uploads/2025/07/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-22-103.pdf
561,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-06-27,15,https://luganmedia.ru/wp-content/uploads/2025/10/%D0%9E%D0%B3%D0%BD%D0%B8-%E2%84%96-24-105.pdf
562,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-07-04,15,https://luganmedia.ru/wp-content/uploads/2025/10/%D0%9E%D0%B3%D0%BD%D0%B8-%E2%84%96-25-106.pdf
544,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-07-11,15,https://luganmedia.ru/wp-content/uploads/2025/10/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-26-107.pdf
545,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-07-18,15,https://luganmedia.ru/wp-content/uploads/2025/10/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-27-108.pdf
